date,sales,marketing_spend,website_visits,temperature,season,product_category,units_sold,revenue
2024-01-01,15000,2500,5200,18,Winter,Electronics,150,15000
2024-01-02,16200,2600,5400,17,Winter,Electronics,162,16200
2024-01-03,14800,2400,5100,19,Winter,Clothing,148,14800
2024-01-04,17500,2800,5800,16,Winter,Electronics,175,17500
2024-01-05,18200,2900,6000,15,Winter,Home,182,18200
2024-01-06,16800,2700,5600,17,Winter,Electronics,168,16800
2024-01-07,15500,2500,5300,18,Winter,Clothing,155,15500
2024-01-08,19200,3100,6200,14,Winter,Electronics,192,19200
2024-01-09,17800,2850,5900,16,Winter,Home,178,17800
2024-01-10,16500,2650,5500,17,Winter,Clothing,165,16500
2024-01-11,20500,3300,6500,13,Winter,Electronics,205,20500
2024-01-12,18900,3050,6100,15,Winter,Home,189,18900
2024-01-13,17200,2750,5700,16,Winter,Clothing,172,17200
2024-01-14,19800,3200,6300,14,Winter,Electronics,198,19800
2024-01-15,21200,3400,6700,12,Winter,Home,212,21200
2024-02-01,22500,3600,7000,20,Spring,Electronics,225,22500
2024-02-02,23800,3800,7300,21,Spring,Clothing,238,23800
2024-02-03,21200,3400,6800,19,Spring,Home,212,21200
2024-02-04,24500,3900,7500,22,Spring,Electronics,245,24500
2024-02-05,25800,4100,7800,23,Spring,Clothing,258,25800
2024-02-06,23500,3750,7200,21,Spring,Home,235,23500
2024-02-07,26200,4200,8000,24,Spring,Electronics,262,26200
2024-02-08,24800,3950,7600,22,Spring,Clothing,248,24800
2024-02-09,27500,4400,8300,25,Spring,Home,275,27500
2024-02-10,26800,4300,8100,24,Spring,Electronics,268,26800
2024-03-01,28500,4550,8500,26,Spring,Clothing,285,28500
2024-03-02,29200,4650,8700,27,Spring,Home,292,29200
2024-03-03,27800,4450,8400,25,Spring,Electronics,278,27800
2024-03-04,30500,4850,9000,28,Spring,Clothing,305,30500
2024-03-05,31200,4950,9200,29,Spring,Home,312,31200
2024-04-01,32800,5200,9500,30,Summer,Electronics,328,32800
2024-04-02,34500,5450,9800,31,Summer,Clothing,345,34500
2024-04-03,33200,5250,9600,30,Summer,Home,332,33200
2024-04-04,35800,5650,10100,32,Summer,Electronics,358,35800
2024-04-05,37200,5850,10400,33,Summer,Clothing,372,37200
2024-05-01,38500,6050,10700,34,Summer,Home,385,38500
2024-05-02,39800,6250,11000,35,Summer,Electronics,398,39800
2024-05-03,38200,6000,10600,33,Summer,Clothing,382,38200
2024-05-04,41200,6450,11300,36,Summer,Home,412,41200
2024-05-05,42500,6650,11600,37,Summer,Electronics,425,42500
2024-06-01,43800,6850,11900,38,Summer,Clothing,438,43800
2024-06-02,42200,6600,11500,36,Summer,Home,422,42200
2024-06-03,45500,7100,12200,39,Summer,Electronics,455,45500
2024-06-04,46800,7300,12500,40,Summer,Clothing,468,46800
2024-06-05,45200,7050,12100,38,Summer,Home,452,45200
2024-07-01,38500,6050,10700,35,Fall,Electronics,385,38500
2024-07-02,37200,5850,10400,34,Fall,Clothing,372,37200
2024-07-03,36800,5800,10300,33,Fall,Home,368,36800
2024-07-04,35500,5600,10000,32,Fall,Electronics,355,35500
2024-07-05,34200,5400,9700,31,Fall,Clothing,342,34200
2024-08-01,33800,5350,9600,30,Fall,Home,338,33800
2024-08-02,32500,5150,9400,29,Fall,Electronics,325,32500
2024-08-03,31200,4950,9100,28,Fall,Clothing,312,31200
2024-08-04,30800,4900,9000,27,Fall,Home,308,30800
2024-08-05,29500,4700,8700,26,Fall,Electronics,295,29500
2024-09-01,28200,4500,8500,25,Fall,Clothing,282,28200
2024-09-02,27800,4450,8400,24,Fall,Home,278,27800
2024-09-03,26500,4250,8100,23,Fall,Electronics,265,26500
2024-09-04,25200,4050,7800,22,Fall,Clothing,252,25200
2024-09-05,24800,4000,7700,21,Fall,Home,248,24800
2024-10-01,23500,3800,7400,20,Winter,Electronics,235,23500
2024-10-02,22200,3600,7100,19,Winter,Clothing,222,22200
2024-10-03,21800,3550,7000,18,Winter,Home,218,21800
2024-10-04,20500,3350,6700,17,Winter,Electronics,205,20500
2024-10-05,19200,3150,6400,16,Winter,Clothing,192,19200
2024-11-01,18800,3100,6300,15,Winter,Home,188,18800
2024-11-02,17500,2900,6000,14,Winter,Electronics,175,17500
2024-11-03,16200,2700,5700,13,Winter,Clothing,162,16200
2024-11-04,15800,2650,5600,12,Winter,Home,158,15800
2024-11-05,14500,2450,5300,11,Winter,Electronics,145,14500
2024-12-01,16800,2750,5800,15,Winter,Clothing,168,16800
2024-12-02,18200,2950,6100,16,Winter,Home,182,18200
2024-12-03,19500,3150,6400,17,Winter,Electronics,195,19500
2024-12-04,20800,3350,6700,18,Winter,Clothing,208,20800
2024-12-05,22100,3550,7000,19,Winter,Home,221,22100
